Heuristic,Test No.,PT_var,Makespan
SSPT,0,0.2,383.69
SSPT,1,0.2,375.14
SSPT,2,0.2,370.57
SSPT,3,0.2,370.87
SSPT,4,0.2,384.21
SSPT,5,0.2,367.95
SSPT,6,0.2,379.26
SSPT,7,0.2,378.63
SSPT,8,0.2,370.82
SSPT,9,0.2,383.09
ATCS,0,0.2,373.08
ATCS,1,0.2,369.79
ATCS,2,0.2,365.89
ATCS,3,0.2,355.40
ATCS,4,0.2,372.32
ATCS,5,0.2,360.78
ATCS,6,0.2,378.56
ATCS,7,0.2,368.94
ATCS,8,0.2,352.79
ATCS,9,0.2,374.18
MDD,0,0.2,405.12
MDD,1,0.2,402.32
MDD,2,0.2,391.53
MDD,3,0.2,391.13
MDD,4,0.2,400.58
MDD,5,0.2,387.21
MDD,6,0.2,405.88
MDD,7,0.2,391.82
MDD,8,0.2,386.17
MDD,9,0.2,404.56
COVERT,0,0.2,408.87
COVERT,1,0.2,405.54
COVERT,2,0.2,396.21
COVERT,3,0.2,389.07
COVERT,4,0.2,402.09
COVERT,5,0.2,394.54
COVERT,6,0.2,404.93
COVERT,7,0.2,396.64
COVERT,8,0.2,388.35
COVERT,9,0.2,403.91
